drug_name,manufacturer,approval_year,drug_class,indications,side_effects,dosage_mg,administration_route,contraindications,warnings,price_usd,batch_number,expiry_date,side_effect_severity,approval_status
Seroxetine50,AstraZeneca,1996,Antidepressant,Allergy relief,"Fatigue, Nausea",260,Rectal,Bleeding disorders,Avoid alcohol,192.43,MV388Pl,11/29/2026,Mild,Pending
Mecoparin93,AstraZeneca,2018,Vaccine,Allergy relief,Nausea,470,Inhalation,Allergic reaction,Take with food,397.82,UR279ZN,7/14/2027,Mild,Approved
Daxozole89,Merck & Co.,1997,Antipsychotic,Allergy relief,"Diarrhea, Blurred vision, Dizziness",330,Sublingual,High blood pressure,Take with food,131.69,we040kH,6/2/2028,Moderate,Pending
Viracillin84,Roche Holding AG,2004,Antifungal,Inflammation reduction,"Fatigue, Dry mouth",450,Oral,Kidney impairment,Do not operate machinery,372.82,hO060rh,7/7/2026,Mild,Rejected
Amoxstatin62,Pfizer Inc.,2003,Antidepressant,Psychosis control,"Insomnia, Dry mouth, Fatigue",430,Topical,Bleeding disorders,Do not operate machinery,281.48,Fa621Sw,12/28/2027,Moderate,Pending
Loxocillin72,Johnson & Johnson,2023,Antifungal,Viral infections,"Rash, Dizziness",180,Intravenous,Bleeding disorders,May affect fertility,463.28,Nl465Ez,12/15/2025,Moderate,Rejected
Fenoxetine43,AstraZeneca,2004,Anti-inflammatory,Psychosis control,Blurred vision,500,Topical,Bleeding disorders,May affect fertility,320.77,Id480PC,10/24/2025,Mild,Pending
Fenomab17,GlaxoSmithKline,2018,Analgesic,Bacterial infections,Nausea,570,Inhalation,Seizures,Avoid alcohol,57.48,XK920cq,9/27/2026,Severe,Approved
Cefparin42,Sanofi,2012,Analgesic,Prevent infectious disease,Dry mouth,420,Oral,Asthma,Avoid alcohol,251.97,TU342KC,10/4/2026,Moderate,Approved
Rivaprofen81,GlaxoSmithKline,2013,Antibiotic,Bacterial infections,"Insomnia, Fatigue, Headache",580,Intramuscular,Pregnancy,Take with food,4.48,LQ578uz,10/25/2025,Severe,Approved
Fenocillin43,AstraZeneca,1994,Antiviral,Allergy relief,"Dizziness, Fatigue",860,Oral,Liver disease,Risk of addiction,99.56,FP064JV,7/23/2028,Severe,Rejected
Amoxxetine60,Johnson & Johnson,1997,Antihistamine,Allergy relief,Dry mouth,730,Topical,Allergic reaction,Do not operate machinery,176.53,oL649Gy,2/28/2028,Moderate,Approved
Zylomab54,Bayer AG,2017,Antiviral,Fungal infections,"Rash, Diarrhea, Insomnia",20,Inhalation,Liver disease,Monitor blood pressure,295.29,gz867Gp,4/13/2028,Moderate,Approved
Amoxstatin52,AstraZeneca,2008,Antibiotic,Depression treatment,"Constipation, Diarrhea, Blurred vision",580,Intravenous,Pregnancy,Do not operate machinery,156.63,Kp602HU,2/4/2026,Mild,Pending
Virazole50,Johnson & Johnson,2020,Antipyretic,Viral infections,"Headache, Dizziness, Constipation",10,Topical,Seizures,May cause drowsiness,412.56,vP121pU,4/13/2028,Severe,Rejected
Cefprofen42,Merck & Co.,1999,Antipsychotic,Allergy relief,"Dizziness, Insomnia, Constipation",790,Topical,Pregnancy,May affect fertility,49.47,AR108jz,8/7/2026,Severe,Approved
Cefzole42,GlaxoSmithKline,1996,Antidepressant,Pain relief,Blurred vision,770,Rectal,Asthma,Take with food,85.4,JW654ck,6/7/2027,Severe,Rejected
Fenomab41,Roche Holding AG,2020,Antibiotic,Fever reduction,"Headache, Diarrhea, Insomnia",790,Intramuscular,Seizures,Avoid sunlight exposure,109.81,Ti286wo,4/8/2027,Severe,Pending
Mecoparin65,Sanofi,2016,Antiviral,Bacterial infections,"Fatigue, Diarrhea",990,Intravenous,Asthma,Use with caution in elderly,270.85,xl072nC,12/3/2027,Mild,Pending
Seroxetine86,GlaxoSmithKline,1992,Antibiotic,Inflammation reduction,"Rash, Fatigue",730,Oral,Seizures,Avoid alcohol,200.23,Xr189Tw,8/6/2027,Severe,Pending
Zylostatin70,Merck & Co.,2002,Antipyretic,Depression treatment,"Diarrhea, Insomnia",360,Oral,High blood pressure,Do not operate machinery,101.19,xz503bu,6/21/2026,Severe,Approved
Amoxstatin45,Moderna Therapeutics,1997,Antipsychotic,Inflammation reduction,Diarrhea,380,Oral,Liver disease,May cause drowsiness,193.27,ff665ER,4/6/2027,Severe,Pending
Cefmab58,Novartis AG,1990,Antipsychotic,Fungal infections,Headache,540,Intravenous,Seizures,Avoid alcohol,498.4,Nu212OF,2/23/2027,Mild,Rejected
Amoxvir52,Sanofi,2001,Antihistamine,Fungal infections,"Dry mouth, Insomnia",510,Topical,Asthma,Monitor blood pressure,433.16,pN426wC,4/9/2026,Mild,Rejected
Zyloparin93,Sanofi,2018,Antiviral,Bacterial infections,Fatigue,600,Topical,Bleeding disorders,Do not discontinue abruptly,489.56,ER909gT,2/2/2028,Severe,Pending
Daxoprofen23,Pfizer Inc.,2024,Antibiotic,Pain relief,"Fatigue, Nausea",300,Rectal,High blood pressure,Avoid sunlight exposure,340.85,tb051tZ,10/22/2027,Mild,Rejected
Loxomab59,Johnson & Johnson,1990,Antipsychotic,Bacterial infections,Dry mouth,10,Oral,Heart disease,May affect fertility,146.95,dU359vk,2/18/2026,Severe,Pending
Serodipine76,Bayer AG,1993,Antipsychotic,Fungal infections,"Fatigue, Diarrhea",450,Intravenous,Asthma,May cause drowsiness,166.48,On333ej,6/12/2026,Severe,Approved
Loxozepam62,GlaxoSmithKline,1990,Anti-inflammatory,Depression treatment,"Insomnia, Rash, Constipation",150,Sublingual,Pregnancy,May cause drowsiness,37.73,YH453Zb,3/18/2027,Moderate,Pending
Rivaprofen67,Merck & Co.,1997,Anti-inflammatory,Fever reduction,"Fatigue, Nausea, Dizziness",60,Inhalation,Kidney impairment,Do not discontinue abruptly,9.05,qu491Ck,12/7/2025,Severe,Rejected
